WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"jueves, 08/05/2025",Issued,19:35:48,Issued,1421411,CANADA,00018748,11065408317117173656,"197.970,00","25.736,10"
"sábado, 10/05/2025",Issued,12:24:46,Issued,1421411,ECUADOR,00018758,11065408317117175359,"48.980,00","6.367,40"
"sábado, 10/05/2025",Issued,16:37:59,Issued,1421411,ECUADOR,00018762,11065408317117175836,"12.990,00","1.688,70"
"sábado, 10/05/2025",Issued,16:38:59,Issued,1421411,ECUADOR,0200018763,11065408317117175843,"165.900,00","21.567,00"
"domingo, 11/05/2025",Issued,17:46:11,Processed by Global Blue,1421411,CHILE,00018783,11065408317117176816,"108.980,00","14.167,40"
"lunes, 12/05/2025",Issued,13:54:38,Issued,1421411,UNITED STATES,0200018786,11065408317117177213,"159.990,00","20.798,70"
"viernes, 16/05/2025",Issued,14:20:20,Issued,1421411,BRAZIL,0200018811,11065408317117180750,"210.980,00","27.427,40"
"viernes, 16/05/2025",Issued,14:23:08,Issued,1421411,AFGHANISTAN,0200018812,11065408317117180784,"29.990,00","3.898,70"
"viernes, 16/05/2025",Issued,14:28:53,Processed by Global Blue,1421411,EL SALVADOR,0200018813,11065408317117180811,"155.990,00","20.278,70"
"viernes, 16/05/2025",Issued,15:34:57,Issued,1421411,MEXICO,0200018814,11065408317117180967,"171.990,00","22.358,70"
"domingo, 18/05/2025",Issued,12:33:52,Issued,1421411,CHINA,0200018827,11065408317117183313,"155.990,00","20.278,70"
"domingo, 18/05/2025",Issued,13:27:11,Issued,1421411,UNITED STATES,00018829,11065408317117183487,"79.990,00","10.398,70"
"lunes, 19/05/2025",Issued,14:59:37,Issued,1421411,UNITED STATES,00018842,11065408317117184476,"66.960,00","8.704,80"
"lunes, 19/05/2025",Issued,15:06:26,Issued,1421411,UNITED STATES,00018843,11065408317117184482,"182.920,00","23.779,60"
"lunes, 19/05/2025",Issued,15:12:06,Issued,1421411,UNITED STATES,00018844,11065408317117184509,"92.950,00","12.083,50"
"jueves, 22/05/2025",Issued,18:35:38,Issued,1421411,CHILE,00018863,11065408317117187570,"12.990,00","1.688,70"
"jueves, 22/05/2025",Issued,19:41:46,Issued,1421411,UNITED KINGDOM,00018864,11065408317117187687,"269.990,00","35.098,70"
"lunes, 26/05/2025",Issued,14:31:26,Issued,1421411,SPAIN,00120905,11065408317117192685,"144.990,00","18.848,70"

